student_id,college,first_exam_date,first_exam_score,second_exam_date,category
117.0,Univ of Texas at San Antonio,1/23/26,487,—,below_495
118.0,Univ of Texas at Tyler,1/9/26,504,—,passing
119.0,Univ of Houston,2/13/26,,—,took_no_score
120.0,Univ of Texas at Austin,1/10/26,495,5/14/26,borderline
121.0,Univ of Houston,1/15/26,494,5/22/26,below_495
122.0,Texas Tech Univ,1/9/26,502,5/22/26,passing
123.0,Univ of Texas at Austin,4/10/26,,—,future
124.0,Baylor Univ,8/23/25,514,—,passing
125.0,Texas A&M Univ,1/23/26,493,5/8/26,below_495
126.0,University of St Thomas - TX,2/13/26,511,—,passing
127.0,Univ of Texas at Austin,3/20/26,,—,took_no_score
128.0,Univ of Texas at Austin,1/23/26,500,—,borderline
129.0,Trinity Univ,3/7/26,,—,took_no_score
130.0,Univ of Texas at Austin,4/11/26,,—,future
131.0,Texas A&M Univ,3/20/26,,—,took_no_score
132.0,Univ of Texas at Austin,3/20/26,,—,took_no_score
133.0,Southern Methodist Univ,1/23/26,511,—,passing
134.0,Univ of Texas at Austin,1/23/26,509,—,passing
135.0,Univ of Texas at Austin,3/20/26,,—,took_no_score
136.0,Univ of Texas at San Antonio,2/13/26,478,5/2/26,below_495
137.0,University of North Texas at Dallas,—,,—,no_date
138.0,Univ of Texas at Austin,1/23/26,499,—,borderline
139.0,Univ of Texas at Austin,1/10/26,502,—,passing
140.0,Univ of Texas Rio Grande Valley,2/13/26,500,—,borderline
141.0,Univ of Texas at Austin,1/15/26,483,5/9/26,below_495
142.0,Baylor Univ,4/25/26,,—,future
143.0,Univ of Texas at Arlington,1/10/26,voided score,5/8/26,voided
144.0,Univ of Texas at Dallas,1/23/26,509,—,passing
145.0,Stephen F. Austin State Univ,1/23/26,497,—,borderline
146.0,,—,,—,no_date
147.0,,—,,—,no_date
148.0,Univ of Texas at Austin,1/10/26,517,—,passing
149.0,Univ of Texas at Austin,1/9/26,513,—,passing
150.0,Univ of Texas at Dallas,1/23/26,508,—,passing
151.0,Univ of Texas at Austin,1/10/26,478,5/22/26,below_495
152.0,Univ of Texas at Austin,1/23/26,505,—,passing
153.0,Univ of Houston Clear Lake (was alt),1/9/26,501,—,borderline
154.0,Texas State Univ,4/10/26,,—,future
155.0,,—,,—,no_date
,William Marsh Rice Univ (was alt),9/4/25,526,—,passing
,Univ of Texas at Austin (was alt),1/23/26,506,—,passing
,Texas State Univ (was alt),4/25/26,,—,future
,Univ of Texas at Austin (was alt),1/10/26,509,—,passing
,Southwestern (was alt),1/10/26,503,—,passing
